Date,Open,High,Low,Close,Adj Close,Volume
2002-05-01,28.570000,31.360001,25.559999,27.620001,16.863897,976795600
2002-06-01,27.430000,28.200001,17.450001,18.270000,11.163094,1334010600
2002-07-01,18.350000,19.879999,16.260000,18.790001,11.480818,1507029200
2002-08-01,18.719999,19.670000,15.820000,16.670000,10.185485,1182004600
2002-09-01,16.469999,17.040001,13.670000,13.890000,8.497054,1253168200
2002-10-01,14.050000,17.510000,12.950000,17.299999,10.583087,1881026700
2002-11-01,17.100000,21.299999,16.910000,20.879999,12.773106,1250526600
2002-12-01,21.879999,22.090000,15.420000,15.570000,9.534932,1176184400
2003-01-01,16.020000,18.010000,15.140000,15.660000,9.590051,1296861600
2003-02-01,15.650000,17.290001,14.880000,17.250000,10.563752,972981900
2003-03-01,17.129999,19.010000,15.590000,16.280001,9.982497,1292712700
2003-04-01,16.379999,19.559999,16.280001,18.400000,11.282428,1222054300
2003-05-01,18.370001,21.010000,18.299999,20.820000,12.766320,1286127600
2003-06-01,21.000000,22.920000,19.990000,20.809999,12.773608,1356186800
2003-07-01,20.870001,25.500000,20.510000,24.889999,15.277992,1431224400
2003-08-01,24.780001,29.040001,23.330000,28.590000,17.549143,1148633000
2003-09-01,28.770000,29.379999,27.219999,27.520000,16.905800,1165832900
2003-10-01,27.820000,33.279999,27.809999,32.950001,20.241499,1220535000
2003-11-01,33.330002,34.509998,31.660000,33.540001,20.603945,904543000
2003-12-01,33.820000,34.400002,29.660000,32.049999,19.700317,1082622400
2004-01-01,32.360001,34.599998,30.350000,30.520000,18.759867,1125545500
2004-02-01,30.900000,31.430000,28.650000,29.200001,17.948500,1096668000
2004-03-01,29.040001,30.139999,26.030001,27.200001,16.740477,1699989600
2004-04-01,27.370001,28.559999,25.719999,25.730000,15.835750,1377614900
2004-05-01,26.049999,28.980000,25.610001,28.549999,17.571344,1195945600
2004-06-01,28.370001,29.010000,27.129999,27.600000,17.012548,1025083900
2004-07-01,27.389999,27.480000,22.459999,24.379999,15.027759,1685420600
2004-08-01,24.040001,24.990000,20.860001,21.290001,13.123085,1268945500
2004-09-01,21.100000,21.719999,19.639999,20.059999,12.385422,1564929800
2004-10-01,20.299999,22.610001,20.219999,22.260000,13.743733,1523801700
2004-11-01,22.190001,24.990000,22.150000,22.379999,13.817830,1424847200
2004-12-01,22.500000,24.500000,22.440001,23.389999,14.467023,1490134800
2005-01-01,23.639999,23.790001,21.889999,22.450001,13.885612,1589091300
2005-02-01,22.490000,24.629999,22.170000,23.990000,14.838122,1420647100
2005-03-01,24.360001,25.469999,22.959999,23.230000,14.419134,1362583000
2005-04-01,23.340000,23.900000,21.940001,23.520000,14.599149,1365595400
2005-05-01,23.500000,27.400000,23.350000,26.959999,16.734390,1293616200
2005-06-01,26.799999,27.750000,25.730000,26.020000,16.205324,1169082600
2005-07-01,26.230000,28.840000,26.080000,27.139999,16.902866,1067827200
2005-08-01,27.240000,27.660000,25.309999,25.719999,16.018484,994634900
2005-09-01,25.580000,26.120001,23.799999,24.650000,15.396786,1085852500
2005-10-01,24.740000,24.959999,22.750000,23.500000,14.678466,1165374500
2005-11-01,23.180000,27.150000,22.530001,26.680000,16.664755,1130819800
2005-12-01,26.940001,27.490000,24.870001,24.959999,15.643967,1104580800
2006-01-01,25.190001,26.629999,21.100000,21.260000,13.324951,1852525400
2006-02-01,21.240000,21.680000,19.879999,20.600000,12.911281,1590202000
2006-03-01,20.730000,21.000000,19.309999,19.459999,12.254580,1935500400
2006-04-01,19.680000,20.270000,18.600000,19.980000,12.582038,1498496500
2006-05-01,20.059999,20.219999,17.740000,18.020000,11.347769,1676106300
2006-06-01,18.049999,19.360001,16.750000,19.000000,12.026295,1609055300
2006-07-01,19.270000,19.389999,16.840000,18.000000,11.393332,1271383700
2006-08-01,17.889999,20.000000,17.219999,19.570000,12.387087,1287884000
2006-09-01,19.900000,20.950001,19.030001,20.570000,13.094489,1396655300
2006-10-01,20.559999,22.030001,20.170000,21.340000,13.584660,1587909000
2006-11-01,21.370001,22.500000,20.320000,21.400000,13.622854,1182225800
2006-12-01,21.320000,21.450001,20.030001,20.250000,12.953424,909179000
2007-01-01,20.450001,22.299999,20.139999,20.959999,13.407593,1614851100
2007-02-01,20.980000,21.670000,19.799999,19.860001,12.703946,1175995900
2007-03-01,19.520000,19.799999,18.750000,19.129999,12.302466,1380681800
2007-04-01,19.150000,22.299999,19.030001,21.500000,13.826610,1477884000
2007-05-01,21.559999,23.139999,21.450001,22.180000,14.263917,1282004400
2007-06-01,22.340000,24.450001,21.290001,23.740000,15.346224,1332613900
2007-07-01,23.879999,26.520000,23.530001,23.620001,15.268652,1499628800
2007-08-01,23.559999,25.799999,22.090000,25.750000,16.645540,1533784300
2007-09-01,25.820000,26.430000,24.600000,25.860001,16.794754,1186023200
2007-10-01,26.040001,26.980000,25.160000,26.900000,17.470177,1566472800
2007-11-01,26.700001,27.540001,24.320000,26.080000,16.937630,1368224000
2007-12-01,26.030001,27.990000,25.379999,26.660000,17.387625,943306700
2008-01-01,26.280001,26.340000,18.049999,21.100000,13.761404,2466431600
2008-02-01,21.400000,21.820000,19.500000,19.969999,13.024411,1461654100
2008-03-01,20.059999,22.450001,19.440001,21.180000,13.897486,1355904700
2008-04-01,21.510000,23.020000,20.500000,22.260000,14.606138,1281765800
2008-05-01,22.360001,25.290001,22.360001,23.180000,15.209805,1143725900
2008-06-01,23.049999,24.000000,21.219999,21.480000,14.178513,1135974600
2008-07-01,21.290001,22.620001,19.709999,22.190001,14.647168,1379893000
2008-08-01,22.420000,24.750000,21.980000,22.870001,15.096019,1085887300
2008-09-01,23.270000,23.480000,17.270000,18.730000,12.440634,1623820500
2008-10-01,18.500000,18.690001,13.370000,16.030001,10.647268,2340996600
2008-11-01,16.129999,16.389999,12.060000,13.800000,9.166084,1534106100
2008-12-01,13.460000,15.680000,12.380000,14.660000,9.821872,1330676100
2009-01-01,14.690000,15.510000,12.500000,12.900000,8.642710,1272188700
