Date,Open,High,Low,Close,Adj Close,Volume
2002-04-01,13.926436,14.130237,11.895214,12.024289,6.358538,147290819
2002-05-01,12.024289,12.961775,10.883000,11.263430,5.956190,155937322
2002-06-01,11.175116,11.215876,9.069167,9.714538,5.137122,170966382
2002-07-01,9.527720,10.544010,6.239723,6.815122,3.603891,223045241
2002-08-01,6.613359,7.614703,5.268269,6.105214,3.228486,149161985
2002-09-01,5.753996,6.434013,4.550888,4.745178,2.509288,130621887
2002-10-01,4.745178,6.164995,3.968015,5.843668,3.090178,211529755
2002-11-01,5.716632,7.091613,5.634432,6.912268,3.655262,220993911
2002-12-01,7.173813,7.248540,5.201014,5.268269,2.785903,132795257
2003-01-01,5.342996,6.426541,4.931996,5.006724,2.647594,158723698
2003-02-01,5.014196,5.701687,4.752651,5.298160,2.801709,109048621
2003-03-01,5.440141,6.359286,4.931996,5.111342,2.702917,160278550
2003-04-01,5.193542,6.434013,5.081451,6.254668,3.307518,191321458
2003-05-01,6.262141,7.607231,6.120159,7.577340,4.006958,201902206
2003-06-01,7.808994,8.384394,7.001940,7.532503,3.983247,195187786
2003-07-01,7.532503,8.934087,7.263485,8.070539,4.267766,287723411
2003-08-01,8.151245,9.660436,7.521743,9.507095,5.027428,185064706
2003-09-01,9.507095,10.435207,8.280373,8.740394,4.621990,176834277
2003-10-01,8.764606,10.088174,8.344938,8.926017,4.720148,207222085
2003-11-01,9.119710,9.474813,8.425643,8.772676,4.639060,205475856
2003-12-01,8.877593,9.281120,7.586307,8.264232,4.370191,212337602
2004-01-01,8.457925,9.418320,8.393361,9.022863,4.771361,186423598
2004-02-01,8.998651,9.071286,8.231950,8.385290,4.434208,112657524
2004-03-01,8.530560,9.135851,7.473320,8.425643,4.455546,239576678
2004-04-01,8.538631,9.103568,7.667012,7.691224,4.067181,150200990
2004-05-01,7.949481,8.191598,7.142427,8.191598,4.331781,182547401
2004-06-01,8.054398,8.062469,6.615098,7.645545,4.043025,191575653
2004-07-01,7.581142,7.590342,6.072274,6.550695,3.503649,177846870
2004-08-01,6.523094,7.167123,6.210280,6.946313,3.715246,139156986
2004-09-01,6.946313,7.295929,6.449491,6.569096,3.513491,127536638
2004-10-01,6.651900,7.130322,6.228681,6.964714,3.725088,167260390
2004-11-01,6.946313,8.077964,6.900311,7.332731,3.921922,155542225
2004-12-01,7.378733,7.847954,7.240727,7.811152,4.177806,109836026
2005-01-01,7.857154,8.087165,7.065919,8.050363,4.305748,153698830
2005-02-01,8.004361,8.685192,7.912357,8.390778,4.487820,128246278
2005-03-01,8.381578,8.482783,7.553541,7.801952,4.172886,147732903
2005-04-01,8.114766,8.114766,7.387933,7.921557,4.236856,126144312
2005-05-01,8.004361,8.574787,7.921557,8.473582,4.532108,126423535
2005-06-01,8.390778,9.245037,8.326376,8.810317,4.712211,155205897
2005-07-01,8.839299,9.138772,8.172729,8.298314,4.597108,172695627
2005-08-01,8.298314,8.646090,7.776651,7.950539,4.404447,218610016
2005-09-01,8.047143,8.278993,7.486838,7.940878,4.399096,241965277
2005-10-01,7.940878,8.278993,7.245327,7.805632,4.324172,224009460
2005-11-01,7.776651,9.303000,7.680046,9.254697,5.126926,214560303
2005-12-01,9.351302,9.815003,8.877940,9.573492,5.303533,156565090
2006-01-01,9.950249,10.665121,9.447906,10.433271,5.779833,218084987
2006-02-01,10.384968,10.433271,9.370623,9.399604,5.207202,187475809
2006-03-01,9.457567,9.921267,8.984205,9.718398,5.383808,196139084
