Date,Open,High,Low,Close,Adj Close,Volume
2002-04-01,14.610000,15.300000,10.950000,11.180000,11.180000,133431100
2002-05-01,11.350000,12.950000,10.400000,11.430000,11.430000,100840400
2002-06-01,11.400000,11.410000,7.950000,9.720000,9.720000,137478900
2002-07-01,9.600000,10.300000,7.460000,8.030000,8.030000,111618400
2002-08-01,8.030000,10.880000,7.010000,8.850000,8.850000,110296000
2002-09-01,8.600000,8.690000,5.200000,5.340000,5.340000,118764300
2002-10-01,5.420000,6.450000,3.100000,6.140000,6.140000,211607900
2002-11-01,6.100000,9.100000,5.440000,9.000000,9.000000,286594000
2002-12-01,9.290000,9.600000,6.180000,6.460000,6.460000,200971700
2003-01-01,6.560000,7.790000,4.990000,5.240000,5.240000,203923100
2003-02-01,5.240000,5.670000,4.780000,5.490000,5.490000,94819000
2003-03-01,5.550000,7.240000,5.100000,6.180000,6.180000,154559400
2003-04-01,6.200000,8.590000,6.000000,7.440000,7.440000,219445600
2003-05-01,7.410000,7.880000,6.800000,7.280000,7.280000,139247600
2003-06-01,7.200000,7.390000,5.800000,6.410000,6.410000,206623100
2003-07-01,6.320000,7.520000,6.250000,7.300000,7.300000,144233300
2003-08-01,7.270000,11.360000,7.070000,11.290000,11.290000,230096800
2003-09-01,11.480000,12.870000,10.520000,11.110000,11.110000,307099200
2003-10-01,11.160000,15.560000,11.010000,15.200000,15.200000,273043900
2003-11-01,15.440000,18.500000,15.420000,17.969999,17.969999,247003800
2003-12-01,18.200001,18.389999,13.800000,14.900000,14.900000,267280600
2004-01-01,15.100000,17.500000,14.250000,14.860000,14.860000,279096000
2004-02-01,15.000000,15.850000,13.600000,15.000000,15.000000,191274800
2004-03-01,14.660000,16.400000,13.700000,16.230000,16.230000,234984300
2004-04-01,16.280001,17.600000,13.980000,14.220000,14.220000,235253900
2004-05-01,14.690000,15.550000,13.650000,15.550000,15.550000,189583500
2004-06-01,15.500000,16.350000,14.060000,15.900000,15.900000,201887900
2004-07-01,15.900000,15.900000,11.030000,12.490000,12.490000,275641400
2004-08-01,12.200000,12.440000,10.760000,11.430000,11.430000,161423500
2004-09-01,11.700000,13.230000,10.760000,13.000000,13.000000,189707100
2004-10-01,13.100000,16.850000,13.090000,16.820000,16.820000,242795000
2004-11-01,16.879999,22.490000,16.450001,21.280001,21.280001,302808300
2004-12-01,21.600000,24.950001,20.510000,22.020000,22.020000,244518300
2005-01-01,22.110001,22.299999,14.630000,15.800000,15.800000,393453500
2005-02-01,15.900000,18.450001,15.850000,17.450001,17.450001,202230300
2005-03-01,17.629999,18.020000,15.110000,16.120001,16.120001,172862500
2005-04-01,16.309999,17.500000,14.080000,14.230000,14.230000,216557300
2005-05-01,14.210000,16.620001,14.210000,16.400000,16.400000,128537300
2005-06-01,16.350000,18.340000,16.299999,17.340000,17.340000,165349200
2005-07-01,17.340000,20.840000,17.219999,20.080000,20.080000,172963700
2005-08-01,20.080000,21.299999,19.820000,20.770000,20.770000,130359000
2005-09-01,20.730000,25.750000,20.690001,25.200001,25.200001,206500600
2005-10-01,25.469999,26.070000,20.219999,23.219999,23.219999,262994400
2005-11-01,22.930000,27.360001,22.780001,26.180000,26.180000,230878600
2005-12-01,26.549999,31.840000,25.250000,30.600000,30.600000,202885200
2006-01-01,31.020000,42.009998,30.879999,41.799999,41.799999,405342700
2006-02-01,41.299999,42.419998,38.320000,38.669998,38.669998,242927000
2006-03-01,39.000000,42.700001,32.590000,33.160000,33.160000,445050900
2006-04-01,32.200001,35.750000,29.969999,32.349998,32.349998,344974900
2006-05-01,32.520000,34.959999,29.680000,30.889999,30.889999,324838800
2006-06-01,31.049999,31.920000,23.459999,24.420000,24.420000,340982000
2006-07-01,24.480000,24.719999,16.900000,19.389999,19.389999,422223600
2006-08-01,19.650000,25.719999,18.840000,24.990000,24.990000,458123200
2006-09-01,25.250000,27.900000,23.719999,24.850000,24.850000,401445700
2006-10-01,24.670000,25.690001,20.000000,21.270000,21.270000,649272200
2006-11-01,21.240000,22.330000,20.559999,21.570000,21.570000,389191100
2006-12-01,21.299999,23.000000,19.900000,20.350000,20.350000,416644900
2007-01-01,20.080000,20.629999,15.520000,15.550000,15.550000,632791700
2007-02-01,15.650000,15.910000,14.430000,15.070000,15.070000,505937100
2007-03-01,14.760000,14.980000,12.960000,13.060000,13.060000,510042200
2007-04-01,13.080000,14.750000,12.600000,13.820000,13.820000,677886200
2007-05-01,13.860000,15.950000,13.000000,14.270000,14.270000,604659300
2007-06-01,14.300000,14.880000,13.280000,14.300000,14.300000,544825300
2007-07-01,14.260000,16.190001,13.390000,13.540000,13.540000,642584900
2007-08-01,13.480000,13.630000,11.270000,13.000000,13.000000,635797600
2007-09-01,13.170000,13.920000,12.550000,13.200000,13.200000,393654700
2007-10-01,13.250000,14.730000,12.550000,13.080000,13.080000,481709400
2007-11-01,12.990000,13.800000,9.650000,9.760000,9.760000,503212900
2007-12-01,9.820000,9.900000,7.260000,7.500000,7.500000,598480900
2008-01-01,7.400000,7.790000,5.310000,7.590000,7.590000,785177400
2008-02-01,7.780000,8.080000,6.220000,7.210000,7.210000,469176500
2008-03-01,7.210000,7.210000,5.760000,5.890000,5.890000,454783500
2008-04-01,5.930000,6.480000,5.610000,5.960000,5.960000,509054300
2008-05-01,5.980000,7.480000,5.970000,6.880000,6.880000,469607800
2008-06-01,6.880000,7.980000,5.670000,5.830000,5.830000,531728900
2008-07-01,5.710000,5.840000,4.110000,4.210000,4.210000,594637700
2008-08-01,4.260000,6.350000,4.050000,6.290000,6.290000,438351400
2008-09-01,6.370000,6.470000,3.000000,5.250000,5.250000,460925700
2008-10-01,4.550000,5.560000,2.650000,3.500000,3.500000,644021600
2008-11-01,3.590000,3.870000,1.620000,2.360000,2.360000,342099200
2008-12-01,2.310000,2.370000,1.920000,2.160000,2.160000,318103700
2009-01-01,2.190000,2.850000,1.860000,2.190000,2.190000,314953000
2009-02-01,2.150000,2.510000,2.000000,2.180000,2.180000,256044900
2009-03-01,2.130000,3.780000,2.010000,3.050000,3.050000,373265200
2009-04-01,2.980000,3.920000,2.920000,3.610000,3.610000,341310700
2009-05-01,3.550000,4.840000,3.550000,4.540000,4.540000,432645900
2009-06-01,4.690000,4.900000,3.430000,3.870000,3.870000,485302200
2009-07-01,3.930000,4.250000,3.220000,3.660000,3.660000,534541100
2009-08-01,3.750000,4.550000,3.470000,4.360000,4.360000,416458300
2009-09-01,4.360000,6.300000,4.130000,5.660000,5.660000,735800000
2009-10-01,5.620000,6.360000,4.550000,4.600000,4.600000,669105800
2009-11-01,4.680000,7.330000,4.330000,7.010000,7.010000,744345500
2009-12-01,7.110000,10.040000,7.010000,9.680000,9.680000,610098700
2010-01-01,9.790000,9.900000,7.300000,7.460000,7.460000,539405700
2010-02-01,7.610000,8.200000,6.980000,7.910000,7.910000,349645100
2010-03-01,7.940000,9.740000,7.940000,9.270000,9.270000,362325900
2010-04-01,9.340000,10.240000,9.060000,9.070000,9.070000,545403600
2010-05-01,9.180000,9.780000,7.680000,8.570000,8.570000,714882100
2010-06-01,8.430000,9.190000,7.300000,7.320000,7.320000,600646700
2010-07-01,7.350000,8.250000,6.960000,7.490000,7.490000,708138000
2010-08-01,7.630000,7.770000,5.530000,5.610000,5.610000,670320000
2010-09-01,5.750000,7.440000,5.670000,7.110000,7.110000,643928600
2010-10-01,7.200000,7.680000,6.770000,7.340000,7.340000,602273500
2010-11-01,7.480000,8.240000,7.240000,7.290000,7.290000,430132400
2010-12-01,7.410000,8.430000,7.370000,8.180000,8.180000,345150800
